iter	Logloss
0	0.6849458826
1	0.6768877522
2	0.6695422687
3	0.6619140458
4	0.6547670905
5	0.6479177721
6	0.6407965023
7	0.634201422
8	0.6276759452
9	0.6214788862
10	0.6152270672
11	0.609293119
12	0.6033408855
13	0.5974406417
14	0.5918700599
15	0.5864603085
16	0.5809977664
17	0.575523655
18	0.5705332884
19	0.565645237
20	0.5608468168
21	0.5561640624
22	0.5515156723
23	0.5469581237
24	0.5422408748
25	0.5378474481
26	0.5336026468
27	0.529492129
28	0.5255498937
29	0.5215201964
30	0.517679783
31	0.5139207943
32	0.5103479154
33	0.5067901446
34	0.5030486196
35	0.4997396072
36	0.4960896056
37	0.4927557621
38	0.4896725958
39	0.4864291332
40	0.4834279518
41	0.4804087527
42	0.477596352
43	0.4748707557
44	0.4720215665
45	0.469175734
46	0.4665662144
47	0.4638297089
48	0.4613006776
49	0.4588468858
50	0.4564218598
51	0.4539198125
52	0.4516140826
53	0.4494717894
54	0.4473186953
55	0.445167376
56	0.4430684165
57	0.441111525
58	0.4392110388
59	0.4372873803
60	0.4352656741
61	0.433193223
62	0.4313983163
63	0.4296167627
64	0.4277167429
65	0.4257456826
66	0.4238448998
67	0.4220073881
68	0.4203854231
69	0.4186651496
70	0.4171280063
71	0.4155056938
72	0.4140850885
73	0.4125864831
74	0.4112121488
75	0.4098940878
76	0.4084420224
77	0.4070370883
78	0.4058593166
79	0.4046398632
80	0.4035201727
81	0.402182793
82	0.4010170999
83	0.3997783119
84	0.3985870229
85	0.3975045295
86	0.3963523928
87	0.3952426396
88	0.3943091382
89	0.3933340059
90	0.3923835135
91	0.3915158845
92	0.3906751448
93	0.3898486039
94	0.3889704511
95	0.3881231596
96	0.3873205562
97	0.3864270657
98	0.3856341959
99	0.384768522
100	0.3840177494
101	0.3832107618
102	0.3824015837
103	0.3816874196
104	0.3809764587
105	0.3801750741
106	0.3794333068
107	0.3788357759
108	0.3780977611
109	0.3773312647
110	0.376734945
111	0.3761901588
112	0.3754811345
113	0.3748497456
114	0.3742201649
115	0.3736811331
116	0.372976096
117	0.3723844686
118	0.3716884942
119	0.3712052682
120	0.3706494204
121	0.369984145
122	0.3694412712
123	0.3688888504
124	0.3683312409
125	0.3678572687
126	0.3674758209
127	0.367014666
128	0.3665006317
129	0.3659890661
130	0.3655193063
131	0.3651666967
132	0.3647042503
133	0.3643243513
134	0.363876237
135	0.3634566557
136	0.3630101879
137	0.3625683258
138	0.3621564442
139	0.3618729897
140	0.361516313
141	0.3611250559
142	0.3608017197
143	0.3603986176
144	0.3600515467
145	0.3597000142
146	0.3594043574
147	0.3590376652
148	0.3586728053
149	0.3583353315
150	0.3580584687
151	0.3577943105
152	0.3573956001
153	0.35718504
154	0.3568756407
155	0.3565817729
156	0.356286837
157	0.3559408404
158	0.3556381741
159	0.3553876569
160	0.3551598819
161	0.354903643
162	0.3546650817
163	0.3543827679
164	0.3541567147
165	0.3539043554
166	0.3537062056
167	0.3534843104
168	0.3532867295
169	0.3531019483
170	0.3529388502
