iter	Passed	Remaining
0	2	1469
1	5	1360
2	7	1324
3	10	1331
4	13	1325
5	15	1306
6	18	1296
7	20	1281
8	23	1263
9	26	1284
10	28	1265
11	30	1258
12	33	1242
13	35	1222
14	37	1208
15	39	1198
16	41	1184
17	44	1180
18	46	1182
19	49	1176
20	52	1208
21	55	1197
22	57	1186
23	59	1181
24	61	1170
25	63	1164
26	66	1161
27	68	1152
28	70	1148
29	72	1140
30	74	1133
31	76	1125
32	79	1118
33	80	1107
34	82	1101
35	85	1099
36	87	1100
37	90	1095
38	91	1087
39	94	1084
40	96	1075
41	98	1071
42	100	1065
43	102	1059
44	104	1057
45	106	1051
46	108	1046
47	110	1038
48	113	1041
49	115	1039
50	117	1035
51	119	1029
52	121	1024
53	123	1020
54	125	1016
55	127	1014
56	130	1011
57	132	1007
58	134	1004
59	136	1004
60	138	999
61	141	996
62	144	1003
63	148	1009
64	150	1005
65	152	1000
66	153	993
67	155	989
68	157	983
69	159	978
70	161	974
71	162	968
72	165	966
73	167	965
74	169	960
75	171	956
76	175	962
77	177	960
78	180	959
79	184	969
80	187	967
81	189	963
82	191	961
83	193	957
84	195	952
85	197	949
86	199	948
87	201	944
88	204	942
89	205	938
90	208	938
91	210	934
92	212	929
93	215	931
94	217	929
95	219	925
96	223	928
97	227	933
98	230	932
99	233	934
100	235	931
101	240	937
102	242	933
103	244	929
104	246	926
105	247	921
106	250	918
107	252	914
108	254	911
109	256	908
110	260	913
111	262	910
112	265	909
113	267	907
114	271	907
115	274	907
116	276	904
117	278	902
118	281	901
119	285	903
120	288	903
121	290	900
122	292	896
123	296	900
124	299	897
125	302	898
126	304	894
127	306	890
128	308	887
129	310	883
130	312	880
131	314	876
132	317	874
133	319	871
134	321	868
135	324	867
136	326	864
137	328	860
138	329	856
139	331	853
140	334	850
141	336	847
142	338	845
143	340	842
144	342	838
145	344	836
146	346	833
147	349	831
148	351	828
149	353	824
150	355	822
151	357	819
152	360	817
153	362	814
154	364	811
155	367	809
156	369	806
157	371	804
158	373	801
159	375	798
160	377	795
161	381	795
162	388	802
163	390	799
164	392	797
165	395	795
166	397	792
167	399	789
168	401	785
169	403	782
170	404	778
171	407	776
172	409	773
173	411	770
174	413	767
175	415	765
176	417	762
177	420	760
178	422	756
179	424	753
180	426	752
181	429	749
182	432	750
183	434	747
184	437	744
185	439	742
186	441	739
187	444	737
188	446	734
189	449	732
190	451	731
191	453	728
192	456	726
193	458	722
194	460	720
195	462	718
196	464	714
197	467	712
198	469	709
199	470	706
200	473	703
201	474	700
202	477	698
203	479	695
204	481	693
205	483	690
206	486	688
207	490	688
208	492	686
209	494	683
210	496	680
211	500	679
212	502	677
213	504	674
214	506	671
215	508	668
216	510	665
217	512	662
218	514	660
219	516	657
220	518	654
221	520	651
222	522	648
223	524	646
224	526	643
225	528	640
226	530	637
227	532	634
228	534	632
229	536	629
230	538	626
231	540	623
232	541	621
233	543	618
234	545	615
235	548	613
236	550	610
237	553	608
238	555	606
239	557	604
240	561	603
241	563	600
242	567	600
243	569	597
244	571	594
245	573	591
246	577	591
247	579	588
248	582	587
249	585	585
250	587	583
251	589	580
252	591	577
253	593	575
254	597	574
255	599	571
256	601	568
257	604	566
258	606	564
259	608	561
260	610	558
261	612	555
262	614	553
263	617	552
264	620	550
265	623	548
266	626	546
267	628	544
268	630	541
269	633	539
270	634	536
271	638	535
272	641	533
273	645	532
274	647	529
275	649	527
276	651	524
277	653	521
278	655	519
279	657	516
280	659	513
281	660	510
282	663	508
283	665	506
284	667	503
285	670	502
286	672	499
287	676	497
288	678	495
289	680	492
290	684	491
291	686	489
292	688	486
293	690	483
294	692	480
295	695	479
296	696	476
297	698	473
298	700	471
299	702	468
300	704	465
301	706	463
302	708	460
303	711	458
304	713	455
305	714	453
306	718	451
307	722	450
308	724	447
309	726	445
310	728	442
311	730	440
312	733	438
313	735	435
314	737	433
315	740	430
316	743	428
317	744	426
318	746	423
319	748	421
320	750	418
321	752	415
322	754	413
323	756	411
324	758	408
325	762	406
326	764	404
327	767	402
328	771	400
329	774	398
330	776	396
331	778	393
332	779	391
333	781	388
334	783	385
335	785	383
336	787	380
337	789	378
338	791	375
339	793	373
340	796	371
341	798	369
342	800	366
343	802	364
344	805	361
345	807	359
346	811	357
347	813	355
348	815	352
349	817	350
350	819	347
351	821	345
352	824	343
353	826	340
354	828	338
355	830	335
356	832	333
357	834	330
358	836	328
359	840	326
360	842	324
361	844	321
362	846	319
363	848	317
364	851	314
365	852	312
366	855	310
367	858	307
368	860	305
369	862	302
370	864	300
371	867	298
372	869	295
373	871	293
374	874	291
375	877	289
376	880	287
377	882	284
378	884	282
379	886	279
380	888	277
381	890	275
382	892	272
383	894	270
384	898	268
385	900	265
386	904	263
387	905	261
388	907	259
389	909	256
390	912	254
391	915	252
392	918	249
393	919	247
394	921	245
395	923	242
396	926	240
397	928	237
398	930	235
399	933	233
400	936	231
401	938	228
402	941	226
403	943	224
404	947	222
405	949	219
406	951	217
407	953	215
408	956	212
409	960	210
410	962	208
411	964	205
412	966	203
413	968	201
414	970	198
415	972	196
416	974	194
417	977	191
418	979	189
